Name	Position	League	Team	Height	Weight
Eric Hunter	C	WHL	Prince George	185.0	205
Martin Houle	G	QMJHL	Cape Breton	177.5	180
Jonas Fiedler	RW	OHL	Plymouth	185.0	177
Aaron Gagnon	C	WHL	Seattle	177.5	186
Mike Card	D	WHL	Kelowna	182.5	201
Tyler Spurgeon	C	WHL	Kelowna	175.0	188
Jason Pitton	LW	OHL	Sault Ste. Marie	187.5	216
Justin Keller	LW	WHL	Kelowna	177.5	183
Gregory Stewart	LW	OHL	Peterborough	185.0	202
Jonathan Paiement	D	QMJHL	Lewiston	182.5	201
Jan Steber	F	QMJHL	Halifax	187.5	202
David Schulz	D	WHL	Swift Current	190.0	201
Martin Vagner	D	QMJHL	Gatineau	182.5	214
Dylan Hunter	LW	OHL	London	177.5	198
Sylvain Michaud	G	QMJHL	Drummondville	177.5	180
Jonathan Michel Boutin	RW	QMJHL	Shawinigan	187.5	187
Alex Dulac-Lemelin	D	QMJHL	Baie Comeau	190.0	190
Adam Cracknell	RW	WHL	Kootenay	182.5	216
Triston Grant	LW	WHL	Vancouver	182.5	211
