Name	Position	League	Team	Height	Weight
Micheal Ferland	LW	WHL	Brandon	180.0	195
Cody Beach	RW	WHL	Calgary	192.5	180
Troy Rutkowski	D	WHL	Portland	185.0	208
Louis Domingue	G	QMJHL	Quebec	187.5	180
Luke Walker	RW	WHL	Portland	182.5	174
Petr Mrazek	G	OHL	Ottawa	180.0	162
Gregg Sutch	RW	OHL	Mississauga	185.0	193
Sam Carrick	C	OHL	Brampton	180.0	188
Adam Polasek	D	QMJHL	PEI	187.5	190
Brendan Gallagher	RW	WHL	Vancouver	172.5	163
Joe Rogalski	D	OHL	Sarnia	182.5	195
Corey Durocher	LW	OHL	Kingston	185.0	173
Dalton Prout	D	OHL	Barrie	185.0	201
Kendall McFaull	D	WHL	Moose Jaw	185.0	190
Brandon Davidson	D	WHL	Regina	182.5	202
Konrad Abeltshauser	D	QMJHL	Halifax	192.5	210
Stephen MacAulay	LW	QMJHL	Saint John	182.5	175
Drew Czerwonka	LW	WHL	Kootenay	185.0	194
Tyler Stahl	D	WHL	Chilliwack	182.5	196
Reid McNeill	D	OHL	London	187.5	191
Brooks Macek	C	WHL	Tri-City	177.5	180
Alex Friesen	C	OHL	Niagara	172.5	186
Cedrick Henley	LW	QMJHL	Val d'Or	192.5	195
Maxime Clermont	G	QMJHL	Gatineau	182.5	195
Samuel Carrier	D	QMJHL	Lewiston	182.5	186
Mark Stone	RW	WHL	Brandon	185.0	188
Josh Nicholls	RW	WHL	Saskatoon	185.0	174
Teigan Zahn	D	WHL	Saskatoon	182.5	218
Dylen McKinlay	RW	WHL	Chilliwack	177.5	162
Randy McNaught	RW	WHL	Saskatoon	190.0	217
Mac Carruth	G	WHL	Portland	185.0	169
Patrick Holland	RW	WHL	Tri-City	180.0	167
Sawyer Hannay	D	QMJHL	Halifax	190.0	190
Riley Boychuk	LW	WHL	Portland	190.0	210
Brendan Ranford	LW	WHL	Kamloops	175.0	182
