Name	Position	League	Team	Height	Weight
Andrew Shaw	C	OHL	Owen Sound	175.0	180
Darian Dziurzynski	LW	WHL	Saskatoon	182.5	208
Dominik Uher	C	WHL	Spokane	180.0	195
Austen Brassard	RW	OHL	Belleville	185.0	188
Frank Corrado	D	OHL	Sudbury	180.0	190
David Broll	LW	OHL	Sault Ste. Marie	185.0	216
Gabriel Beaupre	D	QMJHL	Val d'Or	185.0	195
Andrew Fritsch	RW	OHL	Owen Sound	180.0	187
Darren Kramer	C	WHL	Spokane	182.5	202
Reece Scarlett	D	WHL	Swift Current	182.5	168
Ryan Tesink	C	QMJHL	Saint John	180.0	153
Matt Mahalak	G	OHL	Plymouth	185.0	182
Laurent Brossoit	G	WHL	Edmonton	187.5	200
Matej Stransky	RW	WHL	Saskatoon	187.5	193
Nathan Lieuwen	G	WHL	Kootenay	192.5	185
Richard Nedomlel	D	WHL	Swift Current	190.0	204
Dylan DeMelo	D	OHL	Mississauga St. Michael's	180.0	196
Dillon Donnelly	D	QMJHL	Shawinigan	185.0	193
Mitchell Theoret	C	OHL	Niagara	182.5	210
Jordan Fransoo	D	WHL	Brandon	185.0	178
Garret Sparks	G	OHL	Guelph	185.0	200
Tyler Graovac	C	OHL	Ottawa	187.5	179
Brody Sutter	C	WHL	Lethbridge	190.0	190
Brent Andrews	LW	QMJHL	Halifax	185.0	200
Derek Mathers	RW	OHL	Peterborough	187.5	226
Ondrej Palat	LW	QMJHL	Drummondville	180.0	174
