Name	Position	League	Team	Height	Weight
Cole Cassels	C	OHL	Oshawa	180.0	178
Sven Andrighetto	RW	QMJHL	Rouyn-Noranda	172.5	175
Oliver Bjorkstrand	RW	WHL	Portland	175.0	166
JC Lipon	RW	WHL	Kamloops	177.5	180
Mason Geertsen	D	WHL	Vancouver	187.5	199
Jackson Houck	RW	WHL	Vancouver	180.0	186
Felix Girard	C	QMJHL	Baie Comeau	177.5	190
Kyle Platzer	C	OHL	London	177.5	185
Nicholas Paul	LW	OHL	Brampton	185.0	202
Justin Auger	RW	OHL	Guelph	197.5	229
Nick Moutrey	C/LW	OHL	Saginaw	185.0	208
Dylan Labbe	D	QMJHL	Shawinigan	182.5	205
Ben Harpur	D	OHL	Guelph	192.5	210
Ryan Graves	D	QMJHL	PEI	190.0	220
Zach Pochiro	LW	WHL	Prince George	182.5	159
Jan Kostalek	D	QMJHL	Rimouski	180.0	181
Jordan Subban	D	OHL	Belleville	172.5	175
Martin Reway	LW	QMJHL	Gatineau	170.0	158
Christopher Clapperton	LW	QMJHL	Blainville-Boisbriand	172.5	174
Brent Pedersen	LW	OHL	Kitchener	185.0	205
Cole Ully	LW	WHL	Kamloops	175.0	164
Eric Roy	D	WHL	Brandon	185.0	180
Vincent Dunn	C	QMJHL	Val d'Or	177.5	172
Mitch Wheaton	D	WHL	Kelowna	190.0	228
Patrik Bartosak	G	WHL	Red Deer	182.5	193
Joshua Brown	D	OHL	Oshawa	192.5	213
Henri Ikonen	LW	OHL	Kingston	177.5	184
Tyler Ganly	D	OHL	Sault Ste. Marie	182.5	201
Ben Betker	D	WHL	Everett	192.5	200
Myles Bell	LW	WHL	Kelowna	177.5	212
Brendan Burke	G	WHL	Portland	187.5	176
Alan Quine	C	OHL	Belleville	177.5	188
Marc McNulty	D	WHL	Prince George	192.5	185
Mackenzie Skapski	G	WHL	Kootenay	185.0	186
Tommy Veilleux	LW	QMJHL	Victoriaville	180.0	188
Antoine Bibeau	G	QMJHL	PEI	185.0	207
Jeremy Grégoire	C	QMJHL	Baie Comeau	177.5	190
Zachary Leslie	D	OHL	Guelph	180.0	175
Gregory Chase	C/RW	WHL	Calgary	180.0	195
Eric Locke	C	OHL	Saginaw	175.0	184
Brenden Kichton	D	WHL	Spokane	175.0	175
Dominik Kubalik	LW	OHL	Sudbury	185.0	179
Kyle Burroughs	D	WHL	Regina	177.5	182
Alexandre Belanger	G	QMJHL	Rouyn-Noranda	180.0	170
Tyler Lewington	D	WHL	Medicine Hat	182.5	189
Miles Liberati	D	OHL	London	177.5	195
MacKenzie Weegar	D	QMJHL	Halifax	177.5	183
Mitchell Dempsey	LW	OHL	Sault Ste. Marie	185.0	204
